iter	Logloss
0	0.6487531991
1	0.6114774321
2	0.5801288226
3	0.5487340343
4	0.5232048731
5	0.4984589552
6	0.4806651644
7	0.4686999834
8	0.4533866588
9	0.4421958691
10	0.4325226635
11	0.4209957471
12	0.4141416105
13	0.4043463964
14	0.3948096842
15	0.3854313477
16	0.3778840659
17	0.3694895344
18	0.3629266766
19	0.3564618712
20	0.3506282164
21	0.3448443616
22	0.338665821
23	0.3329961131
24	0.3282608744
25	0.3227314359
26	0.3187890353
27	0.3145412112
28	0.3101917445
29	0.3058887041
30	0.3019091624
31	0.2983495933
32	0.2948617374
33	0.2909196153
34	0.2871844
35	0.2836006892
36	0.280475423
37	0.2778654892
38	0.2751904965
39	0.2728901645
40	0.2699519345
41	0.2675827057
42	0.2652077201
43	0.2631770941
44	0.2598432808
45	0.2579700865
46	0.2550639835
47	0.2520879471
48	0.2499348484
49	0.2481124135
50	0.2460027699
51	0.2437840707
52	0.2417488949
53	0.239930298
54	0.2368795151
55	0.2339102569
56	0.2313710923
57	0.2288734947
58	0.2264347657
59	0.2241809528
60	0.222036087
61	0.2202451447
62	0.2181867557
63	0.2165081651
64	0.2141947872
65	0.2127213546
66	0.2114238159
67	0.2093429256
68	0.2057223678
69	0.2036628491
70	0.2019082895
71	0.1995257828
72	0.1976038873
73	0.195701692
74	0.1944267319
75	0.1928620716
76	0.1906040958
77	0.1889935043
78	0.187052543
79	0.1856693631
80	0.1835282734
81	0.1818630536
82	0.1797204782
83	0.1789565638
84	0.1774969198
85	0.1765680216
86	0.1755252242
87	0.1748005091
88	0.174009977
89	0.1727413773
90	0.1715554011
91	0.1697663777
92	0.1672428433
93	0.1657085457
94	0.1640608596
95	0.1622026146
96	0.1608557247
97	0.1593647584
98	0.1579483682
99	0.1561980335
100	0.1553984791
101	0.1543859981
102	0.1530169319
103	0.151158888
104	0.1493172172
105	0.1484074157
106	0.1469463789
107	0.1462229638
108	0.1452002535
109	0.1435770031
110	0.1419697698
111	0.1404931028
112	0.1397006826
113	0.1390046899
114	0.1377265419
115	0.1371223806
116	0.136095136
117	0.1349014685
118	0.1341063401
119	0.1328095442
120	0.1313758061
121	0.130696171
122	0.1298669037
123	0.1284767445
124	0.1272620536
125	0.1261336383
126	0.1246544178
127	0.1230158467
128	0.1221504598
129	0.1215807468
130	0.1205093817
131	0.1195369357
132	0.1182014512
133	0.1172138856
134	0.1164649515
135	0.1155847391
136	0.1148374453
137	0.1140674877
138	0.1129588965
139	0.1122851962
140	0.111504901
141	0.1102502912
142	0.1093461538
143	0.1081589318
144	0.1077922798
145	0.1068453528
146	0.1060146928
147	0.1049836025
148	0.1040367065
149	0.1034651286
150	0.1023423541
151	0.1011445779
152	0.1003675325
153	0.09962034709
154	0.09886285499
155	0.0984085114
156	0.09756750606
157	0.0968506757
158	0.09583350563
159	0.0953768175
160	0.09527895852
161	0.09455346964
162	0.09368546739
163	0.09283015501
164	0.09237261573
165	0.09217480085
166	0.09167929257
167	0.09105351199
168	0.09030200115
169	0.08968594688
170	0.08859513691
171	0.08787708399
172	0.08718405486
173	0.08654935268
174	0.08583124559
175	0.08517878534
176	0.08464383789
177	0.08420038127
178	0.08333695975
179	0.08299567201
180	0.082590904
181	0.082167225
182	0.08152155073
183	0.08096259313
184	0.080644712
185	0.07988999775
186	0.07965060035
187	0.0792307283
188	0.07875817011
189	0.07836021129
190	0.0778277167
191	0.07694652937
192	0.07651358831
193	0.07577450425
194	0.07529895156
195	0.07478510487
196	0.07408789737
197	0.07359508955
198	0.07325154241
199	0.07281638062
200	0.07235697655
201	0.07190408765
202	0.07132241982
203	0.07079261795
204	0.07045982624
205	0.06960522572
206	0.06917813438
207	0.06894413018
208	0.06855031104
209	0.06808879458
210	0.06764561651
211	0.06714942731
212	0.06651009024
213	0.06608456192
214	0.06565488618
215	0.06548311647
216	0.06473954841
217	0.06442436775
218	0.06415995816
219	0.06358201218
220	0.06315392655
221	0.06305358763
222	0.06264336453
223	0.06220711172
224	0.06178669417
225	0.06145160435
226	0.06107535372
227	0.06056188618
228	0.06004327306
229	0.05976099707
230	0.05905837703
231	0.05874350975
232	0.05830719505
233	0.05796149294
234	0.05749185961
235	0.05697554459
236	0.05666217456
237	0.05639053407
238	0.05620282465
239	0.05612572212
240	0.05587274888
241	0.05538358166
242	0.0550190885
243	0.05453845986
244	0.05432463563
245	0.05393530437
246	0.05371944126
247	0.05327463827
248	0.05316260378
249	0.05291067514
250	0.0526338968
251	0.05242366675
252	0.05209829551
253	0.0518944839
254	0.05158252213
255	0.05125677175
256	0.0508222135
257	0.05049726784
258	0.05012229006
259	0.04984703219
260	0.04951027876
261	0.04927734623
262	0.0490339755
263	0.04855579585
264	0.04828465057
265	0.04805261175
266	0.0477498424
267	0.04753159993
268	0.04749306607
269	0.04734088828
270	0.04702744861
271	0.04669141479
272	0.04628396953
273	0.04604489711
274	0.04574126114
275	0.04545481839
276	0.04520858858
277	0.04505786548
278	0.0446789492
279	0.04442675747
280	0.04428982686
281	0.04400831304
282	0.04375921253
283	0.04343945114
284	0.04315965896
285	0.04303358825
286	0.04273625465
287	0.04230394035
288	0.04204663399
289	0.04165250921
290	0.04142160009
291	0.04126278334
292	0.04107601793
293	0.04078908383
294	0.04052117292
295	0.0402923878
296	0.0401058197
297	0.03995600579
298	0.03973936116
299	0.0396038775
